LineId,Content,EventId,EventTemplate,ContentWithHeader,EventTemplateWithHeader
1,Process=65890,s1,Process=<*>,Process=65890,Process=<*>
2,====== Start Process ======,s2,====== Start Process ======,====== Start Process ======,====== Start Process ======
3,Password for USER0:,s3,Password for <*>,Password for USER0:,Password for <*>
4,==================== Start execute CPTS test ======================,s4,==================== Start execute CPTS test ======================,==================== Start execute CPTS test ======================,==================== Start execute CPTS test ======================
5,file_path=======/report/220912.25/report/HQOS.A2005_report/HQOS.A2005_2021-01-01_16-43.irp,s5,file_path=======<*>,file_path=======/report/220912.25/report/HQOS.A2005_report/HQOS.A2005_2021-01-01_16-43.irp,file_path=======<*>
6,--------precondition:begin--------,s6,--------precondition:begin--------,--------precondition:begin--------,--------precondition:begin--------
7,--------precondition:end--------,s7,--------precondition:end--------,--------precondition:end--------,--------precondition:end--------
8,mkdir: cannot create directory '/home/user/results/job1': File exists,s8,mkdir: cannot create directory '<*>': File exists,mkdir: cannot create directory '/home/user/results/job1': File exists,mkdir: cannot create directory '<*>': File exists
9,Creating CPTS process.,s9,Creating CPTS process.,Creating CPTS process.,Creating CPTS process.
10,patching args=,s10,patching args=<*>,patching args=,patching args=<*>
11,quit,s11,quit,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: quit,[<*> <*>] <*>[<*> <*>]: quit
12,quit,s12,quit,quit,quit
13,display clock,s13,display clock,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display clock,[<*> <*>] <*>[<*> <*>]: display clock
14,display version,s14,display version,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display version,[<*> <*>] <*>[<*> <*>]: display version
15,display device,s15,display device,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display device,[<*> <*>] <*>[<*> <*>]: display device
16,display license,s16,display license,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display license,[<*> <*>] <*>[<*> <*>]: display license
17,display patch verbose,s17,display patch verbose,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display patch verbose,[<*> <*>] <*>[<*> <*>]: display patch verbose
18,display module-information,s18,display module-information,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display module-information,[<*> <*>] <*>[<*> <*>]: display module-information
19,display startup,s19,display startup,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display startup,[<*> <*>] <*>[<*> <*>]: display startup
20,system,s20,system,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: system,[<*> <*>] <*>[<*> <*>]: system
21,diagnose,s21,diagnose,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: diagnose,[<*> <*>] <*>[<*> <*>]: diagnose
22,commit,s22,commit,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: commit,[<*> <*>] <*>[<*> <*>]: commit
23,commit,s23,commit,commit,commit
24,display data-channel,s24,display data-channel,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display data-channel,[<*> <*>] <*>[<*> <*>]: display data-channel
25,display data-channel,s25,display data-channel,display data-channel,display data-channel
26,display ptn-mode,s26,display ptn-mode,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display ptn-mode,[<*> <*>] <*>[<*> <*>]: display ptn-mode
27,display vrcb,s27,display vrcb,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display vrcb,[<*> <*>] <*>[<*> <*>]: display vrcb
28,return,s28,return,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: return,[<*> <*>] <*>[<*> <*>]: return
29,return,s29,return,return,return
30,display slot 7 chipisolate state,s30,display slot <*> chipisolate state,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display slot 7 chipisolate state,[<*> <*>] <*>[<*> <*>]: display slot <*> chipisolate state
31,display slot 7 chipisolate state,s31,display slot <*> chipisolate state,display slot 7 chipisolate state,display slot <*> chipisolate state
32,display anti-theft status,s32,display anti-theft status,[2019-01-11 15:00:13.134] {DTA}[8.36.200.27 26]: display anti-theft status,[<*> <*>] <*>[<*> <*>]: display anti-theft status
33,version = 1.22.33.89,s33,version = <*>,version = 1.22.33.89,version = <*>
