LineId,Content,EventId,EventTemplate,ContentWithHeader,EventTemplateWithHeader
1,nohup: ignoring input,s1,nohup: ignoring input,nohup: ignoring input,nohup: ignoring input
2,====== Start obtain and cache Kerberos ticket-granting ticket ======,s2,====== Start obtain and cache Kerberos ticket-granting ticket ======,====== Start obtain and cache Kerberos ticket-granting ticket ======,====== Start obtain and cache Kerberos ticket-granting ticket ======
3,Password for team7@BIGDATA:,s3,Password for <*>:,Password for team7@BIGDATA:,Password for <*>:
4,==================== Start execute hibench test ======================,s4,==================== Start execute hibench test ======================,==================== Start execute hibench test ======================,==================== Start execute hibench test ======================
5,mkdir: cannot create directory '/home/team7/results': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results': File exists,mkdir: cannot create directory <*>: File exists
6,mkdir: cannot create directory '/home/team7/results/terasort': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results/terasort': File exists,mkdir: cannot create directory <*>: File exists
7,mkdir: cannot create directory '/home/team7/results/bayes': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results/bayes': File exists,mkdir: cannot create directory <*>: File exists
8,mkdir: cannot create directory '/home/team7/results/pagerank': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results/pagerank': File exists,mkdir: cannot create directory <*>: File exists
9,Start changing datasize ...,s6,Start changing datasize ...,Start changing datasize ...,Start changing datasize ...
10,Creating terasort data ...,s7,Creating <*> data ...,Creating terasort data ...,Creating <*> data ...
11,patching args=,s8,patching args=<*>,patching args=,patching args=<*>
12,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hadoop.conf,patching args=<*>
13,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/hibench.conf,Parsing conf: <*>
14,Parsing conf: /home/team7/HiBench3/conf/spark.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/spark.conf,Parsing conf: <*>
15,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,s9,Parsing conf: <*>,Parsing conf: /home/team7/HiBench3/conf/workloads/micro/terasort.conf,Parsing conf: <*>
16,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,s10,probe sleep jar: <*>,probe sleep jar: /usr/hdp/3.0.1.0-187/hadoop/../hadoop-mapreduce/hadoop-mapreduce-client-jobclient-tests.jar,probe sleep jar: <*>
17,please set `hibench.masters.hostnames` and `hibench.slaves.hostnames` manually,s11,please set <*> and <*> manually,please set `hibench.masters.hostnames` and `hibench.slaves.hostnames` manually,please set <*> and <*> manually
18,/home/team7/HiBench3/bin/functions/workload_functions.sh: line 38: .: filename argument required,s12,<*>: line <*>: .: filename argument required,/home/team7/HiBench3/bin/functions/workload_functions.sh: line 38: .: filename argument required,<*>: line <*>: .: filename argument required
19,nohup: ignoring input,s1,nohup: ignoring input,nohup: ignoring input,nohup: ignoring input
20,====== Start obtain and cache Kerberos ticket-granting ticket ======,s2,====== Start obtain and cache Kerberos ticket-granting ticket ======,====== Start obtain and cache Kerberos ticket-granting ticket ======,====== Start obtain and cache Kerberos ticket-granting ticket ======
21,Password for team7@BIGDATA:,s3,Password for <*>:,Password for team7@BIGDATA:,Password for <*>:
22,==================== Start execute hibench test ======================,s4,==================== Start execute hibench test ======================,==================== Start execute hibench test ======================,==================== Start execute hibench test ======================
23,mkdir: cannot create directory '/home/team7/results': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results': File exists,mkdir: cannot create directory <*>: File exists
24,mkdir: cannot create directory '/home/team7/results/terasort': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results/terasort': File exists,mkdir: cannot create directory <*>: File exists
25,mkdir: cannot create directory '/home/team7/results/bayes': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results/bayes': File exists,mkdir: cannot create directory <*>: File exists
26,mkdir: cannot create directory '/home/team7/results/pagerank': File exists,s5,mkdir: cannot create directory <*>: File exists,mkdir: cannot create directory '/home/team7/results/pagerank': File exists,mkdir: cannot create directory <*>: File exists
27,Start changing datasize ...,s6,Start changing datasize ...,Start changing datasize ...,Start changing datasize ...
28,Creating terasort data ...,s7,Creating <*> data ...,Creating terasort data ...,Creating <*> data ...
29,patching args=,s8,patching args=<*>,patching args=,patching args=<*>
