LineId,Content,EventId,EventTemplate
1,"x-trace-id:636d0a116aa21f89636d0a116aa21f89, x-request-id:routeid, enter speck check:, group, group.max",E302,"x-trace-id:<*>, x-request-id:<*>, enter speck check:, <*>"
2,"x-trace-id:636d0a116aa21f8b636d0a116aa21f8b, x-request-id:routeid, not registered, appid removed.",E259,"x-trace-id:<*>, x-request-id:<*>, not registered, appid removed."
3,"x-trace-id:61d26ce16aa21d7e61d26ce16aa21d7e, x-request-id:routeid, enter speck check:, act_model, model.max",E302,"x-trace-id:<*>, x-request-id:<*>, enter speck check:, <*>"
4,"x-trace-id:61d26ce16aa21d7e61d26ce16aa21d7e, x-request-id:routeid, value is empty and allowempty is true",E19,"x-trace-id:<*>, x-request-id:<*>, value is empty and allowempty is <*>"
5,"x-trace-id:61d26ce16aa21d7e61d26ce16aa21d7e, x-request-id:routeid, modeltypeid is empty",E186,"x-trace-id:<*>, x-request-id:<*>, modeltypeid is empty"
6,"x-trace-id:61d26ce16aa21d7e61d26ce16aa21d7e, x-request-id:routeid, parameter check error, param name:name, value:value., traceid is 61d26ce16aa21d7e61d26ce16aa21d7e, requestid is routeid",E288,"x-trace-id:<*>, x-request-id:<*>, parameter check error, param name:<*>, value:<*>, traceid is <*> requestid is <*>"
7,"x-trace-id:61d26ce16aa21d7e61d26ce16aa21d7e, x-request-id:routeid, internal server error, opname:openname@createmodel, error code:openname_0011, error message:create model failed, traceid is 61d26ce16aa21d7e61d26ce16aa21d7e, requestid is routeid",E352,"x-trace-id:<*>, x-request-id:<*>, internal server error, opname:<*>, error code:<*>, error message:create model failed, traceid is <*> requestid is <*>"
8,from db error name = name,E226,from db error name = <*>
9,queryMachineAccount failed. e={} ServiceException: exception.id: vdc;,E120,queryMachineAccount failed. e=<*> ServiceException: exception.id: <*>;
10,ServiceException ServiceException: exception.id: vdc;,E77,ServiceException ServiceException: exception.id: <*>;
11,from db error name = name,E226,from db error name = <*>
12,queryMachineAccount failed. e={} ServiceException: exception.id: vdc;,E120,queryMachineAccount failed. e=<*> ServiceException: exception.id: <*>;
13,"createservice registryserviceoperation: start. servicename = {""zh_cn"":""fun_vapp_tmpl_135_487"", ""en_us"":""fun_vapp_tmpl_135_487""}",E188,"createservice registryserviceoperation: start. servicename = <*>"", ""en_us"":""<*>""}"
14,createservice registryserviceoperation: end.,E429,createservice registryserviceoperation: end.
15,"x-trace-id:-99, x-request-id:routeid, internal server error, traceid is -99, requestid is routeid, opname:queryserviceparams, error code:vapp-09033, error message:the service does not exist. serviceid = serviceid",E189,"x-trace-id:<*>, x-request-id:<*>, internal server error, traceid is <*> requestid is <*> opname:<*>, error code:<*>, error message:<*>. serviceid = <*>"
16,ServiceException ServiceException: exception.id: vapp-09033;,E77,ServiceException ServiceException: exception.id: <*>;
17,"x-trace-id:-99, x-request-id:routeid, internal server error, traceid is -99, requestid is routeid, opname:queryserviceparams, error code:vapp-09033, error message:the service does not exist. serviceid = serviceid",E189,"x-trace-id:<*>, x-request-id:<*>, internal server error, traceid is <*> requestid is <*> opname:<*>, error code:<*>, error message:<*>. serviceid = <*>"
18,ServiceException ServiceException: exception.id: vapp-09033;,E77,ServiceException ServiceException: exception.id: <*>;
19,templatehelper getsoftwareurlmap start,E197,templatehelper getsoftwareurlmap <*>
20,"check string is json exception, ignore this exception...",E187,"check string is json exception, ignore this exception..."
21,"Manager.decryptV2 len=8216, KeyType=LOCAL, keyName=common_local, AppException=Decrypt in 574257954 failed, result=353",E377,"Manager.decryptV2 len=<*>, KeyType=LOCAL, keyName=common_local, AppException=Decrypt in <*> failed, result=<*>"
22,"internal server error, opname:cipherutil.commondecrypt, error code:vapp-00001, error message:decrypt error!, traceid is -99, requestid is",E441,"internal server error, opname:<*>, error code:<*>, error message:decrypt error!, traceid is <*>, requestid is"
23,"check string is json exception, ignore this exception...",E187,"check string is json exception, ignore this exception..."
24,"internal server error, opname:parseobject, error code:vapp-00027, error message:parse json to object fail, pls check json string, traceid is -99, requestid is",E131,"internal server error, opname:<*>, error code:<*>, error message:parse json to object fail, pls check json string, traceid is <*>, requestid is"
25,"x-trace-id:-99, x-request-id:routeid, internal server error, traceid is -99, requestid is routeid, opname:queryserviceparams, error code:vapp-09033, error message:the service does not exist. serviceid = serviceid",E189,"x-trace-id:<*>, x-request-id:<*>, internal server error, traceid is <*> requestid is <*> opname:<*>, error code:<*>, error message:<*>. serviceid = <*>"
26,ServiceException ServiceException: exception.id: vapp-09033;,E77,ServiceException ServiceException: exception.id: <*>;
27,"x-trace-id:-99, x-request-id:routeid, internal server error, traceid is -99, requestid is routeid, opname:queryserviceparams, error code:vapp-09033, error message:the service does not exist. serviceid = serviceid",E189,"x-trace-id:<*>, x-request-id:<*>, internal server error, traceid is <*> requestid is <*> opname:<*>, error code:<*>, error message:<*>. serviceid = <*>"
28,ServiceException ServiceException: exception.id: vapp-09033;,E77,ServiceException ServiceException: exception.id: <*>;
29,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url568 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
30,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url569 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
31,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url5610 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
32,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url5611 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
33,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url5612 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
34,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url567 matched: true,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
35,"bind monitor unit: OpenStack_8CF11829AF1B3799B6C6CEA7FAFD720F_partition to res instance: [E90BDB340EEA3C5FA8022338E86931C7, 809CEB5550793FB9BA44202592241879, A01C6EC314B33A21BC5B2A1A5DE68C2E, 87E624E4FEAB39B48D95C8790AFFCB0B, AA91B1CDA5733BD7B01207ECB36097C9, A89E59CCE9F73226A2E4131D796F3830, 820C24169F633D6D901A974A3605DEAD, 12A1C07B557A38D68821ECF5B382DC2D, 96494660DE3D3825AD88FB9A73F9EDA4, 6D796D117C7631D798774E60E91DA264, DDEB7D7799D038DC85AFC7E388712544, 95EA0C3172B037A78F974C3AD2EC28B2, 743279315E75367BA9194B984C428A09, 1F185B50BDFA3621AF806F37FCFD0DC9, C9E2739678D733B38027B6C14751929E, 6349C56A0B25361D95ABC823753BD07E, 63B02F6C78113FC78EB2B00CB2CB0C49, 47D8FBC0C50F34F080BF68F1C983F71F, 5E09D296CAE937DB8016DCF1E65DB662, 28A05E3952323FC884A53661551E232E, 139B326E19033EE88E3A1631121EE897, 8CEAD57D14753D56B6C00F1B2FE7E07A, 570112E9829F3FE7A8B7E6CE447548F7, 3FEF5AF769F23476BBE9F330ADEEA30D, EA40E62371F833768AE8D0A91ED6F779]",E79,bind monitor unit: <*> to res instance: [<*>]
36,step into ping ip: 127.0.0.1,E330,step into ping ip: <*>
37,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url876 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
38,indicator allow scope: OpenStack/url567 deploy component: OpenStack/url568 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
39,indicator allow scope: OpenStack/url5610 deploy component: OpenStack/url569 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
40,indicator allow scope: OpenStack/url5610 deploy component: OpenStack/url5610 matched: true,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
41,bind monitor unit: OpenStack_8CF11829AF1B3799B6C6CEA7FAFD720F_storage to res instance: [0DA525D82FFB33C5A54C3320A433A074],E79,bind monitor unit: <*> to res instance: [<*>]
42,"Response status code is 500, expected is 200, path is /url, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
43,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
44,"Response status code is 500, expected is 200, path is /url, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
45,"Response status code is 500, expected is 200, path is /url11, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
46,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
47,indicator allow scope: OpenStack/url5610 deploy component: OpenStack/url5611 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
48,indicator allow scope: OpenStack/url5610 deploy component: OpenStack/url5612 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
49,indicator allow scope: OpenStack/url5610 deploy component: OpenStack/url567 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
50,indicator allow scope: OpenStack/url5610 deploy component: OpenStack/url876 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
51,indicator allow scope: OpenStack/url5610 deploy component: OpenStack/url568 matched: false,E52,indicator allow scope: OpenStack/<*> deploy component: OpenStack/<*> matched: <*>
52,"monitor units binding result: result: 304, thresholdConditions: 759",E89,monitor units binding result: result: <*> thresholdConditions: <*>
53,"Response status code is 500, expected is 200, path is /url, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
54,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
55,"Response status code is 500, expected is 200, path is /url11, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
56,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
57,"Response status code is 500, expected is 200, path is /url11, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
58,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
59,"Response status code is 500, expected is 200, path is /url, method is get",E51,Response status code is <*> expected is <*> path is <*> method is get
60,get system instance info from db catch a service exception,E172,get system instance info from db catch a service exception
